x,y,width,height,IoU
1603,2043,282,199,0.71
3112,3152,205,125,0.95
940,1094,256,182,0.54
2988,2616,111,216,0.83
1055,2334,213,153,0.66
636,3066,128,205,0.65
2227,2969,213,114,0.75
1282,2171,222,148,0.73
2889,2639,102,193,0.83
3090,2428,111,216,0.91
4210,2867,111,205,0.83
594,3303,299,165,0.64
3779,2379,102,165,0.8
4411,1767,102,171,0.85
457,1185,230,159,0.56
4882,190,256,176,0.63
