x,y,width,height,IoU
1560,1311,282,193,0.71
884,347,265,182,0.54
3078,2445,205,125,0.95
1008,1607,222,148,0.66
564,2562,307,176,0.64
589,2342,119,193,0.65
2855,1920,102,205,0.83
1248,1444,222,142,0.73
3757,1675,94,171,0.8
2962,1900,111,210,0.83
2193,2248,213,119,0.75
3056,1718,111,222,0.91
4180,2174,119,210,0.83
4373,1063,94,176,0.85
