x,y,width,height,IoU
3988,3112,111,182,0.83
3941,2867,119,216,0.9
4642,2000,222,171,0.76
2650,2741,205,114,0.83
3928,3311,128,205,0.86
3633,1199,119,188,0.75
2744,2086,119,193,0.89
3565,906,171,273,0.78
3766,1604,128,222,0.85
5185,1806,230,114,0.6
2646,2157,145,222,0.87
4856,1980,188,108,0.67
4954,1849,196,108,0.68
4223,3129,136,239,0.92
2936,2151,111,267,0.82
2535,2188,128,205,0.92
4129,3465,153,262,0.85
4018,3545,153,205,0.65
4304,3471,94,171,0.82
4151,2887,145,233,0.85
