x,y,width,height,IoU
436,1903,239,159,0.57
1026,3040,222,165,0.69
4843,903,230,165,0.64
1256,2881,222,153,0.63
3736,3055,102,171,0.85
3048,3117,111,216,0.91
4151,3539,111,205,0.63
1586,2758,265,205,0.63
2954,3297,111,210,0.88
2851,3320,94,188,0.9
4356,2465,94,165,0.63
914,1815,256,176,0.6
